,Operating Airline,Operating Airline IATA Code,Published Airline,Published Airline IATA Code,GEO Summary,GEO Region,Landing Aircraft Type,Aircraft Body Type,Aircraft Manufacturer,Aircraft Model,Landing Count,Total Landed Weight
203,British Airways,BA,British Airways,BA,International,Europe,Passenger,Wide Body,Airbus,A388,30,25860210
204,United Airlines,UA,United Airlines,UA,International,Middle East,Passenger,Wide Body,Boeing,B773,31,17174000
205,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A321,13,2229760
206,Icelandair EHF,FI,Icelandair EHF,FI,International,Europe,Passenger,Wide Body,Boeing,B763,18,5760000
207,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Wide Body,Boeing,B777,1,460000
208,Hawaiian Airlines,HA,Hawaiian Airlines,HA,Domestic,US,Passenger,Wide Body,Airbus,A332,58,23271978
209,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Passenger,Wide Body,Boeing,B773,31,17174000
210,China Airlines,CI,China Airlines,CI,International,Asia,Freighter,Wide Body,Boeing,B744,27,17982000
211,Aer Lingus,EI,Aer Lingus,EI,International,Europe,Passenger,Wide Body,Airbus,A332,7,2795460
212,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Passenger,Wide Body,Airbus,A359,31,14147067
213,Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Passenger,Wide Body,Airbus,A359,31,14147067
214,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,B753,448,100352000
215,United Airlines,UA,United Airlines,UA,International,Canada,Passenger,Narrow Body,Boeing,B739,45,7068500
216,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Wide Body,Boeing,B763,33,10560000
217,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Wide Body,Boeing,B773,3,1662000
218,United Airlines,UA,United Airlines,UA,International,Mexico,Passenger,Narrow Body,Boeing,B738,54,7900200
219,Swiss International,LX,Swiss International,LX,International,Europe,Passenger,Wide Body,Boeing,B773,31,17174000
220,United Airlines,UA,United Airlines,UA,International,Canada,Passenger,Narrow Body,Airbus,A319,9,1240101
221,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Passenger,Wide Body,Boeing,B773,30,16620000
222,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,B788,23,8740000
223,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Freighter,Wide Body,Boeing,B748,1,682000
224,China Eastern,MU,China Eastern,MU,International,Asia,Passenger,Wide Body,Boeing,B773,31,17174000
225,Air France,AF,Air France,AF,International,Europe,Passenger,Wide Body,Boeing,B772,3,1380312
226,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Passenger,Narrow Body,Boeing,B738,55,7917200
227,Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Passenger,Wide Body,Boeing,B773,30,16620000
228,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Wide Body,Airbus,A333,1,412260
229,SkyWest Airlines,OO,United Airlines,UA,Domestic,US,Passenger,Regional Jet,Bombardier,CRJ2,929,43663000
230,Air France,AF,Air France,AF,International,Europe,Passenger,Wide Body,Airbus,A388,30,25529520
231,TACA,TA,TACA,TA,International,Central America,Passenger,Narrow Body,Airbus,A320,52,7661957
232,Iberia,IB,Iberia,IB,Domestic,Europe,Passenger,Wide Body,Airbus,A332,14,5555648
233,Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Passenger,Wide Body,Airbus,A332,13,5216133
234,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Boeing,B752,334,66132000
235,Kalitta Air,K4,Kalitta Air,K4,Domestic,US,Freighter,Wide Body,Boeing,B744,1,652000
236,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Wide Body,Boeing,B789,43,18275000
237,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,B789,21,8925000
238,Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Passenger,Narrow Body,Boeing,B738,288,41669200
239,Thomas Cook Airlines,MT,Thomas Cook Airlines,MT,International,Europe,Passenger,Wide Body,Airbus,A332,13,5222749
